06,08,9500,500,11000,500,0,100
13,21,60,14
13,23,60,14
13,39,130,100
13,38,130,100
13,10,130,100
13,40,130,100
13,05,230,200
13,04,230,200
13,30,30,10
11,22,9500,500,11000,500,0,100
12,24,7500,500,5000,500
27,20,7500,500,5000,500
28,18,7500,500,5000,500
26,17,9500,500,11000,500,0,100
21,13,60,14
21,23,60,14
21,39,130,100
21,38,130,100
21,10,130,100
21,40,130,100
21,05,230,200
21,04,230,200
21,30,30,10
23,13,60,14
23,21,60,14
23,39,130,100
23,38,130,100
23,10,130,100
23,40,130,100
23,05,230,200
23,04,230,200
23,30,30,10
39,13,130,100
39,21,130,100
39,23,130,100
39,38,200,141
39,10,200,141
39,40,200,141
39,05,300,223
39,04,300,223
39,30,100,100
38,13,130,100
38,21,130,100
38,23,130,100
38,39,200,141
38,10,200,141
38,40,200,141
38,05,300,223
38,04,300,223
38,30,100,100
10,13,130,100
10,21,130,100
10,23,130,100
10,39,200,141
10,38,200,141
10,40,200,141
10,05,300,223
10,04,300,223
10,30,100,100
40,13,130,100
40,21,130,100
40,23,130,100
40,39,200,141
40,38,200,141
40,10,200,141
40,05,300,223
40,04,300,223
40,30,100,100
02,01,100,100
35,01,100,100
36,01,100,100
30,86,0,50,100,200,7000,500
A9,B2,300,5100
B0,B2,300,100
88,B0,300,100
88,A9,300,100
B2,88,300,100
B0,A9,300,100
05,13,230,200
05,21,230,200
05,23,230,200
05,39,300,223
05,38,300,223
05,10,300,223
05,40,300,223
05,04,400,282
05,30,200,20004,13,230,200
04,21,230,200
04,23,230,200
04,39,300,223
04,38,300,223
04,10,300,223
04,40,300,223
04,05,400,282
04,30,200,200
